store_code,item,stock_actual
BOS_1,HOME_&_GARDEN_1_110,83
BOS_1,HOME_&_GARDEN_1_334,41
BOS_1,HOME_&_GARDEN_1_459,50
BOS_1,SUPERMARKET_2_360,15
BOS_1,SUPERMARKET_3_080,11
BOS_1,SUPERMARKET_3_090,324
BOS_1,SUPERMARKET_3_099,63
BOS_1,SUPERMARKET_3_120,49
BOS_1,SUPERMARKET_3_202,47
BOS_1,SUPERMARKET_3_226,63
BOS_1,SUPERMARKET_3_252,115
BOS_1,SUPERMARKET_3_282,78
BOS_1,SUPERMARKET_3_288,49
BOS_1,SUPERMARKET_3_318,27
BOS_1,SUPERMARKET_3_329,28
BOS_1,SUPERMARKET_3_362,12
BOS_1,SUPERMARKET_3_377,73
BOS_1,SUPERMARKET_3_389,6
BOS_1,SUPERMARKET_3_458,45
BOS_1,SUPERMARKET_3_499,36
BOS_1,SUPERMARKET_3_555,207
BOS_1,SUPERMARKET_3_586,209
BOS_1,SUPERMARKET_3_587,200
BOS_1,SUPERMARKET_3_681,215
BOS_1,SUPERMARKET_3_694,136
BOS_1,SUPERMARKET_3_714,51
BOS_1,SUPERMARKET_3_723,45
BOS_1,SUPERMARKET_3_739,15
BOS_1,SUPERMARKET_3_804,14
BOS_1,SUPERMARKET_3_811,83
BOS_2,HOME_&_GARDEN_1_110,44
BOS_2,HOME_&_GARDEN_1_334,47
BOS_2,HOME_&_GARDEN_1_459,7
BOS_2,SUPERMARKET_2_360,17
BOS_2,SUPERMARKET_3_080,67
BOS_2,SUPERMARKET_3_090,94
BOS_2,SUPERMARKET_3_099,25
BOS_2,SUPERMARKET_3_120,6
BOS_2,SUPERMARKET_3_202,36
BOS_2,SUPERMARKET_3_226,54
BOS_2,SUPERMARKET_3_252,197
BOS_2,SUPERMARKET_3_282,99
BOS_2,SUPERMARKET_3_288,34
BOS_2,SUPERMARKET_3_318,9
BOS_2,SUPERMARKET_3_329,55
BOS_2,SUPERMARKET_3_362,36
BOS_2,SUPERMARKET_3_377,95
BOS_2,SUPERMARKET_3_389,43
BOS_2,SUPERMARKET_3_458,43
BOS_2,SUPERMARKET_3_499,22
BOS_2,SUPERMARKET_3_555,99
BOS_2,SUPERMARKET_3_586,81
BOS_2,SUPERMARKET_3_587,137
