policy_id,item,abc_class,xyz_class,service_level,review_period_days,lead_time_days,sigma_error,z_value,min_order_quantity,max_order_quantity,active
POL_0001,HOME_&_GARDEN_1_110,B,Y,0.9,7,2,5.0,1.28,0,300,True
POL_0002,HOME_&_GARDEN_1_334,B,Y,0.9,7,2,5.0,1.28,0,300,True
POL_0003,HOME_&_GARDEN_1_459,B,Y,0.9,7,2,5.0,1.28,0,300,True
POL_0004,SUPERMARKET_2_360,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0005,SUPERMARKET_3_080,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0006,SUPERMARKET_3_090,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0007,SUPERMARKET_3_099,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0008,SUPERMARKET_3_120,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0009,SUPERMARKET_3_202,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0010,SUPERMARKET_3_226,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0011,SUPERMARKET_3_252,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0012,SUPERMARKET_3_282,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0013,SUPERMARKET_3_288,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0014,SUPERMARKET_3_318,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0015,SUPERMARKET_3_329,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0016,SUPERMARKET_3_362,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0017,SUPERMARKET_3_377,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0018,SUPERMARKET_3_389,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0019,SUPERMARKET_3_458,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0020,SUPERMARKET_3_499,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0021,SUPERMARKET_3_555,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0022,SUPERMARKET_3_586,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0023,SUPERMARKET_3_587,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0024,SUPERMARKET_3_681,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0025,SUPERMARKET_3_694,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0026,SUPERMARKET_3_714,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0027,SUPERMARKET_3_723,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0028,SUPERMARKET_3_739,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0029,SUPERMARKET_3_804,A,X,0.95,7,1,8.0,1.65,0,500,True
POL_0030,SUPERMARKET_3_811,A,X,0.95,7,1,8.0,1.65,0,500,True
