recomendacion_id,tienda_id,producto_id,semana_inicio,semana_fin,demanda_predicha,stock_actual,stock_seguridad,stock_objetivo,cantidad_a_reponer,abc_class,xyz_class,service_level
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_3_HOME_&_GARDEN_1_110,BOS_3,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,80.12,71,19,99,28,B,Y,0.9
REC_20160425_BOS_3_HOME_&_GARDEN_1_110,BOS_3,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,80.12,71,19,99,28,B,Y,0.9
REC_20160425_PHI_3_HOME_&_GARDEN_1_110,PHI_3,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,60.07,13,19,79,66,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_PHI_3_SUPERMARKET_3_288,PHI_3,SUPERMARKET_3_288,2016-04-25,2016-05-01,34.78,14,37,72,58,A,X,0.95
REC_20160425_PHI_3_SUPERMARKET_3_288,PHI_3,SUPERMARKET_3_288,2016-04-25,2016-05-01,34.78,14,37,72,58,A,X,0.95
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_PHI_3_SUPERMARKET_3_080,PHI_3,SUPERMARKET_3_080,2016-04-25,2016-05-01,45.68,41,37,83,42,A,X,0.95
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_3_SUPERMARKET_3_288,BOS_3,SUPERMARKET_3_288,2016-04-25,2016-05-01,21.96,24,37,59,35,A,X,0.95
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_110,BOS_1,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,82.45,83,19,101,18,B,Y,0.9
REC_20160425_BOS_1_HOME_&_GARDEN_1_334,BOS_1,HOME_&_GARDEN_1_334,2016-04-25,2016-05-01,65.35,41,19,84,43,B,Y,0.9
REC_20160425_BOS_2_HOME_&_GARDEN_1_110,BOS_2,HOME_&_GARDEN_1_110,2016-04-25,2016-05-01,45.67,44,19,65,21,B,Y,0.9
